System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,710845884870,710845884870,,,,"Sram Spare -  Disc Brake Caliper Assembly - (Assembled, No Hose) Sram Branded Black – 2-Piece Post Mount Front/Rear Including Brake Pads:  ",Zyrofisher,,,,,,,,,,,
,710845879548,710845879548,,,,"SRAM Disc Brake Bleed Block - (Used For Bleeding Brakes) - Universal - Fits Small, Medium, And Large Calipers:  ",Zyrofisher,,,,,,,,,,,
,,,,,,"SRAM Spider Specialized Mahle Model 1.2 Sl 107BCD Gen2 Black (No Chain Ring, Including Chainring Bolts):  ",Zyrofisher,,,,,,,,,,,
,,,,,,Sram Spare - Shifter Clamp Bolt Kit x2:  11MM,Zyrofisher,,,,,,,,,,,
,5021646001003,5021646001003,,,,Clarks Universal Galvanised Rear Brake Cable w/2P Black Outer Casing:  ,Zyrofisher,,,,,,,,,,,
,5021646004219,5021646004219,,,,Clarks Universal SS Gear Cable w/SP4 Black Outer Casing:  ,Zyrofisher,,,,,,,,,,,
,5021646004226,5021646004226,,,,Clarks Universal SS Brake Cable w/2P Black Outer Casing:  ,Zyrofisher,,,,,,,,,,,
,765250532007,765250532007,,,,"Avid Spare - Disc Brake Spare Lever Hydraulic Disc Brake Compression Hosenut, Qty 5:  ",Zyrofisher,,,,,,,,,,,
,765250000452,765250000452,,,,"Avid Spare - Disc Brake Service Caliper 05-07 Juicy Caliper Service Kit,Qty 1:  ",Zyrofisher,,,,,,,,,,,
,765250000469,765250000469,,,,"Avid Spare - Disc Brake Spare Parts Caliper 05-07 Juicy Pressure Foot Kit, Qty 1:  ",Zyrofisher,,,,,,,,,,,
,710845602504,710845602504,,,,Avid Spare - Disc Brake Spare Parts Caliper BB7 Pad Adjuster Knob Kit - 2008-2016:  ,Zyrofisher,,,,,,,,,,,
,765250000698,765250000698,,,,Avid Spare - Disc Brake Spare Parts Caliper BB7 Cable Boot Kit:  ,Zyrofisher,,,,,,,,,,,
,765250001473,765250001473,,,,Avid Spare - Disc Brake Spare Parts Caliper BB7 Road Inline Barrel Adjuster Kit:  ,Zyrofisher,,,,,,,,,,,
