System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,614458962850,614458962850,,,,AMS FRAME GUARD EXTRA ZEBRA GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098277,797822098277,,,,AMS FRAME GUARD EXTRA DROPS WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098789,797822098789,,,,AMS FRAME GUARD EXTRA DIGITAL CAMO,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015107,040361015107,,,,AMS FRAME GUARD EXTRA FRACTAL SKULL,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098260,797822098260,,,,AMS FRAME GUARD EXTRA GREEN/WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015350,040361015350,,,,AMS FRAME GUARD EXTRA JOY RIDE GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969696,8437021969696,,,,AMS FRAME GUARD EXTRA KRISS KYLE BLACK,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,8437021969702,8437021969702,,,,AMS FRAME GUARD EXTRA KRISS KYLE WHITE,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,797822098864,797822098864,,,,AMS FRAME GUARD EXTRA MAZE GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,614458962706,614458962706,,,,AMS FRAME GUARD EXTRA ORANGE/YELLOW,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437023467343,8437023467343,,,,AMS FRAME GUARD EXTRA RED BULL HARD WHITE,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,8437023467732,8437023467732,,,,AMS FRAME GUARD EXTRA REDBULL FREE GREY,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,8437023467749,8437023467749,,,,AMS FRAME GUARD EXTRA REDBULL FREE WHITE,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,8437023467756,8437023467756,,,,AMS FRAME GUARD EXTRA REDBULL RAM BROWN,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,8437023467763,8437023467763,,,,AMS FRAME GUARD EXTRA REDBULL RAM WHITE,Extra UK,,,All Mountain Style,,,40,,AMS FRAME GUARDS,,,
,614458962690,614458962690,,,,AMS FRAME GUARD EXTRA RED,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
