Brand,Category,Stock_Code,Description,Barcode_1,SRP,Your_Price,Supplier
Y,GBP,13.74,1,12.49,10.00,20,Extra UK
Y,GBP,16.04,1,14.58,11.66,20,Extra UK
Y,GBP,13.74,1,12.49,10.00,20,Extra UK
Y,GBP,13.74,1,12.49,10.00,20,Extra UK
Y,GBP,13.74,1,12.49,10.00,20,Extra UK
,GBP,6.25,1,5.83,5.00,10,Extra UK
,GBP,168.74,1,157.49,134.99,10,Extra UK
,GBP,74.99,1,69.99,59.99,10,Extra UK
,GBP,78.12,1,72.91,62.50,10,Extra UK
,GBP,93.74,1,87.49,74.99,10,Extra UK
,GBP,46.87,1,43.74,37.49,10,Extra UK
,GBP,12.49,1,11.66,10.00,10,Extra UK
,GBP,108.33,1,,,,Extra UK
,GBP,183.33,1,,,,Extra UK
Y,GBP,64.16,1,59.58,,,Extra UK
Y,GBP,75.83,1,70.41,,,Extra UK
Y,GBP,29.40,1,27.72,,,Extra UK
Y,GBP,145.83,1,135.41,,,Extra UK
Y,GBP,128.33,1,119.16,,,Extra UK
Y,GBP,145.83,1,135.41,,,Extra UK
Y,GBP,128.33,1,119.16,,,Extra UK
Y,GBP,17.49,1,16.24,,,Extra UK
Y,GBP,52.49,1,48.74,,,Extra UK
Y,GBP,52.49,1,48.74,,,Extra UK
Y,GBP,64.16,1,59.58,,,Extra UK
Y,GBP,64.16,1,59.58,,,Extra UK
Y,GBP,78.74,1,73.12,,,Extra UK
Y,GBP,34.99,1,32.49,,,Extra UK
Y,GBP,40.83,1,37.91,,,Extra UK
Y,GBP,81.66,1,75.83,,,Extra UK
Y,GBP,72.91,1,67.70,,,Extra UK
Y,GBP,69.99,1,64.99,,,Extra UK
Y,GBP,75.83,1,70.41,,,Extra UK
Y,GBP,69.99,1,64.99,,,Extra UK
Y,GBP,4.08,1,3.79,,,Extra UK
Y,GBP,27.41,1,25.45,,,Extra UK
Y,GBP,27.41,1,25.45,,,Extra UK
Y,GBP,26.24,1,24.37,,,Extra UK
