System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,8050046168341,8050046168341,EC-DB014,,,,Chicken,,,Campagnolo,,19.09,,,"Tools & Spares, Spares, Shifters Spares, Disc Brake Spares, ",,,
,8050046168402,8050046168402,EC-DB500,,,,Chicken,,,Campagnolo,,18.35,,,"Shifters Spares, Tools & Spares, , Disc Brake Spares, Spares, ",,,
,8050046168419,8050046168419,EC-DB500EPS,,,,Chicken,,,Campagnolo,,23.05,,,"Shifters Spares, Tools & Spares, , Disc Brake Spares, Spares, ",,,
,8050046168426,8050046168426,EC-DB500PO,,,,Chicken,,,Campagnolo,,23.05,,,"Shifters Spares, Tools & Spares, , Disc Brake Spares, Spares, ",,,
,8050046168778,8050046168778,EC-PO100,,,,Chicken,,,Campagnolo,,45.58,,,"Shifters Spares, , Tools & Spares, Spares, ",,,
,8050046168792,8050046168792,EC-CE600,,,,Chicken,,,Campagnolo,,39.24,,,"Shifters Spares, Tools & Spares, Spares, ",,,
,8050046168808,8050046168808,EC-CE601,,,,Chicken,,,Campagnolo,,39.24,,,"Shifters Spares, Tools & Spares, Spares, ",,,
,8050046168891,8050046168891,HB-CA013,,,,Chicken,,,Campagnolo,,14.48,,,"Wheel/Hub Spares, , Tools & Spares, Spares, ",,,
,8050046168945,8050046168945,RD-SR600,,,,Chicken,,,Campagnolo,,36.09,,,"Derailleur Spares, , Tools & Spares, Spares, ",,,
,8050046168952,8050046168952,RD-RE900,,,,Chicken,,,Campagnolo,,10.76,,,"Derailleur Spares, , Tools & Spares, Spares, ",,,
,8050046169263,8050046169263,FC-H11050,,,,Chicken,,,Campagnolo,,91.78,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169287,8050046169287,FC-PO150B,,,,Chicken,,,Campagnolo,,82.29,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169294,8050046169294,FC-PO152B,,,,Chicken,,,Campagnolo,,82.29,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169348,8050046169348,FC-PO007,,,,Chicken,,,Campagnolo,,8.86,,,"Chainset Spares, , Tools & Spares, Spares, ",,,
,8050046169492,8050046169492,FC-H11034,,,,Chicken,,,Campagnolo,,42.41,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169591,8050046169591,FC-PO136B,,,,Chicken,,,Campagnolo,,39.24,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169706,8050046169706,FC-H11052,,,,Chicken,,,Campagnolo,,91.78,,,"Chainrings & Bolts, Components, Chainrings, ",,,
,8050046169720,8050046169720,BR-CA500,,,,Chicken,,,Campagnolo,,14.48,,,"Brake Pads, Rim Brake Pads, Rim Brake Spares, , Components, Tools & Spares, Spares, ",,,
,8050046169812,8050046169812,CPW650A,,,,Chicken,,,Campagnolo,,131.73,,,"Wheels, Components, Road Rim Brake Wheels, ",,,
