SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
RB247281,RB247281,Red Bull Sugar Free Lilac Edition 250ml (12 Pack): PURPLE 250ML,9.00249E+12,1.75,PURPLE,250ML,1 box = 12 units,Energy & Recovery Food & Drink,Red Bull,12.46,GBP,Zyrofisher (Box)
RB2826,RB2826,Red Bull Sugar Free Single Can 250ml (24 Pack):  250ML,9.00249E+12,1.7,NO COLOUR,250ML,1 box = 24 units,Energy & Recovery Food & Drink,Red Bull,26.25,GBP,Zyrofisher (Box)
SKX3462,SKX3462,SKS Raceblade Surface Protection Kit:  ,4.00256E+12,2.49,NO COLOUR,NO SIZE,1 box = 4 units,Mudguards,SKS,1.5,GBP,Zyrofisher (Box)
TQBARSAMPLE8,TQOBARSAM8,TORQ Organic Bar Sample Pack (Pouch Of 8):  ,5.06012E+12,19.95,NO COLOUR,NO SIZE,1 box = 8 units,Energy & Recovery Food & Drink,TORQ,12.05,GBP,Zyrofisher (Box)
TQDENSSBC15,TQDENSS,TORQ Energy Drink Single Serve Sachets (15 x 33g): BLACKCURRANT ,5.06012E+12,2.05,BLACKCURRANT,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,18.58,GBP,Zyrofisher (Box)
TQDENSSCOLA15,TQDENSSC,TORQ Energy Caffeine Drink Single Serve Sachets (15 x 33g): COLA ,5.06012E+12,2.3,COLA,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,20.84,GBP,Zyrofisher (Box)
TQDENSSLIL15,TQDENSS,TORQ Energy Drink Single Serve Sachets (15 x 33g): LIME & LEMON ,5.06012E+12,2.05,LIME & LEMON,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,18.58,GBP,Zyrofisher (Box)
TQDENSSO15,TQDENSS,TORQ Energy Drink Single Serve Sachets (15 x 33g): ORANGE ,5.06012E+12,2.05,ORANGE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,18.58,GBP,Zyrofisher (Box)
TQDENSSPGR15,TQDENSS,TORQ Energy Drink Single Serve Sachets (15 x 33g): PINK GRAPEFRUIT ,5.06012E+12,2.05,PINK GRAPEFRUIT,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,18.58,GBP,Zyrofisher (Box)
TQDENSSVA15,TQDENSS,TORQ Energy Drink Single Serve Sachets (15 x 33g): VANILLA ,5.06012E+12,2.05,VANILLA,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,18.58,GBP,Zyrofisher (Box)
TQDHYD15L,TQDHYD15,TORQ Hydration 15 Sachet Pack: LEMON ,5.06012E+12,1.5,LEMON,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,13.59,GBP,Zyrofisher (Box)
TQDHYD15RB,TQDHYD15,TORQ Hydration 15 Sachet Pack: RED BERRIES ,5.06012E+12,1.5,RED BERRIES,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,13.59,GBP,Zyrofisher (Box)
TQDHYD15T,TQDHYD15,TORQ Hydration 15 Sachet Pack: TANGERINE ,5.06012E+12,1.5,TANGERINE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,13.59,GBP,Zyrofisher (Box)
TQDHYD15WM,TQDHYD15,TORQ Hydration 15 Sachet Pack: WATERMELON ,5.06012E+12,1.5,WATERMELON,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,13.59,GBP,Zyrofisher (Box)
TQDREBOT,TQDREBOT,TORQ Recovery Mixer Bottle Pack (4 Mixed Flavours):  ,5.06012E+12,15.95,NO COLOUR,NO SIZE,1 box = 4 units,Energy & Recovery Food & Drink,TORQ,9.64,GBP,Zyrofisher (Box)
TQDRESS50GBM,TQDRESS50G,TORQ Recovery Drink Single Serve Sachets (10x 50g): BANANA & MANGO ,5.06012E+12,2.5,BANANA & MANGO,NO SIZE,1 box = 10 units,Energy & Recovery Food & Drink,TORQ,15.1,GBP,Zyrofisher (Box)
TQDRESS50GCC,TQDRESS50G,TORQ Recovery Drink Single Serve Sachets (10x 50g): COOKIES & CREAM ,5.06012E+12,2.5,COOKIES & CREAM,NO SIZE,1 box = 10 units,Energy & Recovery Food & Drink,TORQ,15.1,GBP,Zyrofisher (Box)
TQEFAS,TQEF,TORQ Explore Flapjack (20 x 65g): APPLE STRUDEL ,5.06012E+12,2.65,APPLE STRUDEL,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFBC,TQEF,TORQ Explore Flapjack (20 x 65g): BANANA CAKE ,5.06012E+12,2.65,BANANA CAKE,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFBF,TQEF,TORQ Explore Flapjack (20 x 65g): BLACK FOREST ,5.06012E+12,2.65,BLACK FOREST,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFBW,TQEF,TORQ Explore Flapjack (20 x 65g): BAKEWELL SLICE ,5.06012E+12,2.65,BAKEWELL SLICE,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFCC,TQEF,TORQ Explore Flapjack (20 x 65g): CARROT CAKE ,5.06012E+12,2.65,CARROT CAKE,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFGC,TQEF,TORQ Explore Flapjack (20 x 65g): GINGER CAKE ,5.06012E+12,2.65,GINGER CAKE,NO SIZE,1 box = 20 units,Energy & Recovery Food & Drink,TORQ,38.43,GBP,Zyrofisher (Box)
TQEFSAM6,TQEFSAM6,TORQ Explore Flapjack Sampler Pack (Pouch Of 6):  ,5.06012E+12,15.5,NO COLOUR,NO SIZE,1 pack = 6 units,Energy & Recovery Food & Drink,TORQ,11.24,GBP,Zyrofisher (Box)
