Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub A12 Washers,Nord-Lock washers for A12 hubs,,,ROHL.A12 NORD-LOCK WASHERS,Pk4,6.85,6.85,11.99,0,4250307407101,8714930090,Speedhub Spare Parts,8574,HURO8574,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor ABS Spacer,Spacer 4.5mm for Bosch ABS Sensor,,4.5mm,ROHL.SPDHUB ABS SENSOR SPACER 4.5mm,Each,3.71,3.71,6.49,0,4250307407118,8714930090,Speedhub Disc Rotor ABS Spacer,8623,HURO8623,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Service Kit,For Rohloff Speedhub - Includes common spares,,Service Kit,ROHL.SPDHUB SERVICE KIT BOX,Each,257.58,257.58,425.00,0,4250307402793,8714930090,Service Kit Box,8700,HURO8700,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Cable Ferrules,Shifter cable ferrules (Pack10),,Cbl Ferrules,ROHL.SPDHUB CABLE FERRULES (10),Pk10,7.42,7.42,12.99,0,4250307402823,8714930090,Shifting spares,8703,HURO8703,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Cable Adjusters,External Cable Box Cable Adjusters Set/2,,Cbl Adjusters,ROHL.SPDHUB EXT CABLE BOX ADJ,Set,7.42,7.42,12.99,0,4250307402830,8714930090,Shifting spares,8704,HURO8704,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Torque arm bolt,Bolt and circlip for locating fork on Torque arm,,One,ROHL.SPDHUB TQ ARM BOLT/CIRCLIP,Set,2.85,2.85,4.99,0,4250307402861,8714930090,Shifting spares,8707,HURO8707,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Cable Measuring Aid,For Rohloff Speedhub to correctly measure Inner/Outer cables,,Cbl Measure,ROHL.SPDHUB CABLE MEASURE AID,Each,4.85,4.85,8.49,0,4250307402915,8714930090,Speedhub Spare Parts,8713,HURO8713,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Cable Axle Ring Gasket,For Rohloff Axle Ring Only - Paper gasket and Axle Ring screws,,Axl Rng Kit,ROHL.SPDHUB AXLE RING GSKT/SCRW,Each,2.85,2.85,4.99,0,4250307402922,8714930090,Speedhub Spare Parts,8714,HURO8714,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Cable XL Axle Ring Gasket,For Rohloff Axle Ring Only - Paper gasket and XL Axle Ring screws suit XL hubs,,XL Axl Rng Kit,ROHL.SPDHUB XL AXLE RING GSKT/SCRW,Each,5.14,5.14,8.99,0,4250307405633,8714930090,Speedhub Spare Parts,8714XL,HURO8714XL,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,Handlebar Switch Unit,,E-14,ROHL.SPDHUB E-14 H/BAR SWITCH UNIT,Each,23.74,22.55,37.99,0,4250307409396,8714930090,E-14 Spares,8801,HURO8801,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,Trigger Shifter Unit,,E-14,ROHL.SPDHUB E-14 TRIGGER SHIFTER,Each,43.74,41.55,69.99,0,4250307411078,8714930090,E-14 Spares,8801-04H,HURO88014H,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,DC/DC-CAN Converter,,E-14,ROHL.SPDHUB E-14 DC CONVERTER,Each,87.49,83.12,139.99,0,4250307409402,8714930090,E-14 Spares,8802,HURO8802,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,DC-CAN Adaptor 2,,E-14,ROHL.SPDHUB E-14 DC-CAN ADAPTOR 2,Each,62.49,59.37,99.99,0,4250307411184,8714930090,E-14 Spares,8802-05,HURO880205,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,Hub Shifter Unit - E-Bike,,E-14,ROHL.SPDHUB E-14 HUB SHIFTER UNIT,Each,281.24,267.18,449.99,0,4250307409419,8714930090,E-14 Spares,8803-1.0,HURO8803,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,Hub Shifter Unit - E-Bike - Bosch BES-3 Compatible,,E-14 2.0,ROHL.SPDHUB E-14 HUB SHIFTER UNIT BES3,Each,312.49,296.87,499.99,0,4250307410958,8714930090,E-14 Spares,8803-04,HURO880304,Ison
