Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Gears,Gears - Rear MTB,BOX MTB,TWO Prime 9X Rear Mech,,Black,9sp,BOX TWO PRIME 9x Rr MECH,Each,72.72,65.45,119.99,0,639266097273,8714963090,Box Two 9-Speed X-Wide Derailleur,BX-DR2-P9AXWC-BK,GRBX2P9X,Ison
Gears,Gears - Rear MTB,BOX MTB,THREE Prime 9X Rear Mech,,Black,9sp,BOX THREE PRIME 9x Rr MECH,Each,51.51,46.36,84.99,0,639266097334,8714963090,Box Three 9-Speed X-Wide Derailleur,BX-DR3-P9AXWC-BK,GRBX3P9X,Ison
Gears,Gears - Rear MTB,BOX MTB,FOUR 8s Rear Mech,,Black,8sp,BOX FOUR 8s Rr MECH,Each,42.42,38.18,69.99,0,639266097402,8714963090,Box Four 8-Speed Wide Derailleur,BX-DR4-08AWC-BK,GRBX4R8W,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Cosmic Boulder,14-16in,BUMBINOS SPLASH PACK COSMIC BOULDER 14-16,Set,16.24,13.74,29.99,8,7350072563693,8714999089,Splash Pack - Cosmic Boulder,BSP-1-CBL-1416,MUBBSPCB1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Cosmic Boulder,18--20in,BUMBINOS SPLASH PACK COSMIC BOULDER 18-20,Set,16.24,13.74,29.99,8,7350072563709,8714999089,Splash Pack - Cosmic Boulder,BSP-1-CBL-1820,MUBBSPCB2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Color Clay,14-16in,BUMBINOS SPLASH PACK COLOR CLAY 14-16,Set,16.24,13.74,29.99,8,7350072563594,8714999089,Splash Pack - Color Clay,BSP-1-CLY-1416,MUBBSPCC1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Color Clay,18--20in,BUMBINOS SPLASH PACK COLOR CLAY 18-20,Set,16.24,13.74,29.99,8,7350072563600,8714999089,Splash Pack - Color Clay,BSP-1-CLY-1820,MUBBSPCC2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Dream Big,14-16in,BUMBINOS SPLASH PACK DREAM BIG 14-16,Set,16.24,13.74,29.99,8,7350072563679,8714999089,Splash Pack - Dream Big,BSP-1-DBI-1416,MUBBSPDB1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Dream Big,18--20in,BUMBINOS SPLASH PACK DREAM BIG 18-20,Set,16.24,13.74,29.99,8,7350072563686,8714999089,Splash Pack - Dream Big,BSP-1-DBI-1820,MUBBSPDB2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Just Black,14-16in,BUMBINOS SPLASH PACK JUST BLACK 14-16,Set,16.24,13.74,29.99,8,7350072563778,8714999089,Splash Pack - Just Black,BSP-1-BLK-1416,MUBBSPJB1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Just Black,18--20in,BUMBINOS SPLASH PACK JUST BLACK 18-20,Set,16.24,13.74,29.99,8,7350072563785,8714999089,Splash Pack - Just Black,BSP-1-BLK-1820,MUBBSPJB2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,,Jolly Polly,14-16in,BUMBINOS SPLASH PACK JOLLY POLLY 14-16,Set,16.24,13.74,29.99,8,7350072563556,8714999089,Splash Pack - Jolly Polly,BSP-1-JLY-1416,MUBBSPJP1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Jolly Polly,18--20in,BUMBINOS SPLASH PACK JOLLY POLLY 18-20,Set,16.24,13.74,29.99,8,7350072563563,8714999089,Splash Pack - Jolly Polly,BSP-1-JLY-1820,MUBBSPJP2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Lucky Leaves,14-16in,BUMBINOS SPLASH PACK LUCKY LEAVES 14-16,Set,16.24,13.74,29.99,8,7350072563730,8714999089,Splash Pack - Lucky Leaves,BSP-1-LUL-1416,MUBBSPLL1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Lucky Leaves,18--20in,BUMBINOS SPLASH PACK LUCKY LEAVES 18-20,Set,16.24,13.74,29.99,8,7350072563747,8714999089,Splash Pack - Lucky Leaves,BSP-1-LUL-1820,MUBBSPLL2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Mucky Saurus,14-16in,BUMBINOS SPLASH PACK MUCKY SAURUS 14-16,Set,16.24,13.74,29.99,8,7350072563754,8714999089,Spalsh Pack - Mucky Saurus,BSP-1-MUS-1416,MUBBSPMS1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Mucky Saurus,18--20in,BUMBINOS SPLASH PACK MUCKY SAURUS 18-20,Set,16.24,13.74,29.99,8,7350072563761,8714999089,Spalsh Pack - Mucky Saurus,BSP-1-MUS-1820,MUBBSPMS2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Polka Panther,14-16in,BUMBINOS SPLASH PACK POLKA PANTHER 14-16,Set,16.24,13.74,29.99,8,7350072563570,8714999089,Splash Pack - Polka Panther,BSP-1-POP-1416,MUBBSPPP1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Polka Panther,18--20in,BUMBINOS SPLASH PACK POLKA PANTHER 18-20,Set,16.24,13.74,29.99,8,7350072563587,8714999089,Splash Pack - Polka Panther,BSP-1-POP-1820,MUBBSPPP2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Plasma Turbo,14-16in,BUMBINOS SPLASH PACK PLASMA TURBO 14-16,Set,16.24,13.74,29.99,8,7350072563655,8714999089,Splash Pack - Plasma Turbo,BSP-1-PTU-1416,MUBBSPPT1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Plasma Turbo,18--20in,BUMBINOS SPLASH PACK PLASMA TURBO 18-20,Set,16.24,13.74,29.99,8,7350072563662,8714999089,Splash Pack - Plasma Turbo,BSP-1-PTU-1820,MUBBSPPT2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Race Day,14-16in,BUMBINOS SPLASH PACK RACE DAY 14-16,Set,16.24,13.74,29.99,8,7350072563716,8714999089,Splash Pack - Race Day,BSP-1-RDY-1416,MUBBSPRD1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Race Day,18--20in,BUMBINOS SPLASH PACK RACE DAY 18-20,Set,16.24,13.74,29.99,8,7350072563723,8714999089,Splash Pack - Race Day,BSP-1-RDY-1820,MUBBSPRD2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Rolling Hills,14-16in,BUMBINOS SPLASH PACK ROLLING HILLS 14-16,Set,16.24,13.74,29.99,8,7350072563631,8714999089,Splash Pack - Rolling Hills,BSP-1-ROH-1416,MUBBSPRH1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Rolling Hills,18--20in,BUMBINOS SPLASH PACK ROLLING HILLS 18-20,Set,16.24,13.74,29.99,8,7350072563648,8714999089,Splash Pack - Rolling Hills,BSP-1-ROH-1820,MUBBSPRH2,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Sugar Rush,14-16in,BUMBINOS SPLASH PACK SUGAR RUSH 14-16,Set,16.24,13.74,29.99,8,7350072563617,8714999089,Splash Pack - Sugar Rush,BSP-1-SGR-1416,MUBBSPSR1,Ison
Accessories,Mudguards - Kids,Bumbinos,Splash Pack,"Rear - Superlight , Includes Wishbone mount",Sugar Rush,18--20in,BUMBINOS SPLASH PACK SUGAR RUSH 18-20,Set,16.24,13.74,29.99,8,7350072563624,8714999089,Splash Pack - Sugar Rush,BSP-1-SGR-1820,MUBBSPSR2,Ison
Lubricants & Solvents,Lubricants & Solvents,Buzzys,Slick Honey Fork Grease,Syringe,,1oz,BUZZYS SLICK HONEY 1oz SYRING,Each,8.88,7.99,15.99,10,708752028470,3403990000,Slick Honey,LU2004,LUBZSH1,Ison
Lubricants & Solvents,Lubricants & Solvents,Buzzys,Slick Honey Fork Grease,Workshop,,16oz,BUZZYS SLICK HONEY 16oz TUB,Each,27.77,26.38,49.99,2,708752019430,3403990000,Slick Honey,LU2007,LUBZSH12,Ison
Lubricants & Solvents,Lubricants & Solvents,Buzzys,Slick Honey Fork Grease,2oz Tube (Fits screw-on grease guns),,2oz,BUZZYS SLICK HONEY 2oz TUBE,Each,11.11,10.55,19.99,5,657993016497,3403990000,Slick Honey,LU2005,LUBZSH2,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,100 chain 112L,"Single-speed, heat treated steel, gunmetal grey w spring clip joiner.",Grey,"1/8""","CONNEX 100 CHAIN STL GRY 1/8""112L",Each,6.11,5.50,10.99,10,4041319001124,7315111000,100 1/8 Bicycle Chain,6021-4132-1120,CHCX01012,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,1E8 chain 136L,"Single-speed, re-enforced  and Nickel plated w spring clip joiner.",Nickel,"1/8""","CONNEX 1e8 CHAIN Ebike SS 1/8""136L",Each,18.33,16.50,32.99,3,4041319002022,7315111000,1E8 1/8 bicycle chain,2321-01E8-1360,CHCX01E36,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,1E8 chain 15M,"Single-speed, re-enforced  and Nickel plated w 14 joining links",Nickel,"1/8""","CONNEX 1e8 CHAIN Ebike SS 1/8""15M",Each,163.89,147.50,295.00,2,0,7315111000,1E8 1/8 bicycle chain,2341-01E8-0150,CHCX01ER,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,108 chain 112L,"Single-speed, Nickel plated steel w spring clip joiner.",Nickel,"1/8""","CONNEX 108 CHAIN Nickel 1/8""112L",Each,8.33,7.50,14.99,10,4041319001674,7315111000,108 1/8 Bicycle Chain,6021-4152-1120,CHCX01N08,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,1R8 chain 112L,"Single-speed, re-enforced  and Nickel plated w spring clip joiner.",Nickel,"1/8""","CONNEX 1R8 CHAIN Nickel HD 1/8""112L",Each,15.55,14.00,27.99,3,4041319001995,7315111000,1R8 1/8 Bicycle Chain,2321-01R8-1120,CHCX01R12,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,1Z1 chain 112L,"Single-speed, galvanised coated steel w spring clip joiner.",Silver,"1/8""","CONNEX 1Z1 CHAIN GALV 1/8""112L",Each,8.33,7.50,14.99,5,4041319001131,7315111000,1Z1 Galvanised 1/8 Bicycle Chain,6021-41Z1-1120,CHCX01Z12,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,700 chain 114L,"Narrow SS or 5,6,7 speed, gunmetal grey steel w snap-on joiner",Grey,"3/32""","CONNEX 700 CHAIN GUN  3/32""114L",Each,6.66,5.99,11.99,10,4041319001179,7315111000,700 Bicycle Chain,6021-4700-1140,CHCX07014,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,7E8 chain 136L,"Narrow SS  E-bike re-enforced, Nickel plated w Spring Clip joiner",Nickel,"3/32""","CONNEX 7E8 CHAIN Ebike SS 3/32""136L",Each,18.33,16.50,32.99,3,4041319001988,7315111000,"7E8 3/32"" Bicycle Chain",2321-07E8-1360,CHCX07E36,Ison
Chains & Chain Devices,Chains - Single Speed,Connex,708 chain 108L,"Narrow SS or 5,6,7 speed, Nickel plated steel w snap-on joiner",Nickel,"3/32""","CONNEX 708 CHAIN Nickel 3/32""108L",Each,8.33,7.50,14.99,10,4041319001162,7315111000,708 Bicycle Chain,6021-4707-1080,CHCX07N08,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,800 chain 114L,"8-speed, heat treated steel w Connex Link",Grey,8sp,CONNEX 800 CHAIN GREY 114L,Each,11.11,10.00,19.99,10,4041319001117,7315111000,800 Bicycle Chain,6021-4800-1140,CHCX08014,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,8sE chain 124L,"8-speed, Stainless rollers and inner links,  with Connex Link",Silver,8sp,CONNEX 8sE CHAIN SSTL 124L,Each,36.11,32.50,64.99,3,4041319001889,7315111000,8SE Bicycle Chain,2321-08SE-1240,CHCX08E24,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,8sE chain 136L,"8-speed, Stainless rollers and inner links,  with Connex Link",Silver,8sp,CONNEX 8sE CHAIN SSTL 136L,Each,38.88,34.99,69.99,3,4041319002060,7315111000,8SE Bicycle Chain,2321-08SE-1360,CHCX08E36,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,8sE chain 25M,"8-speed, Stainless rollers and inner links,  with 20 Connex Links",Silver,8sp,CONNEX 8sE CHAIN SSTL 25M Roll,Each,513.89,462.50,925.00,2,0,7315111000,8SE Bicycle Chain,2341-08SE-0250,CHCX08ER,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,808 chain 114L,"8-speed, Nickel plated w Connex Link",Nickel,8sp,CONNEX 808 CHAIN Nickel 114L,Each,14.99,13.49,26.99,5,4041319001650,7315111000,808 Bicycle chain,6021-4808-1140,CHCX08N14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,900 chain 114L,"9-speed, heat treated steel w Connex Link",Grey,9sp,CONNEX 900 CHAIN GREY 114L,Each,16.66,14.99,29.99,10,4041319001087,7315111000,900 Bicycle Chain,2321-0900-1140,CHCX09014,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,9sE chain 124L,"9-speed, Stainless rollers and inner links, with Connex Link",Silver,9sp,CONNEX 9sE CHAIN SSTL 124L,Each,36.11,32.50,64.99,3,4041319001858,7315111000,9SE Bicycle Chain,2321-09SE-1240,CHCX09E24,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,9sE chain 136L,"9-speed, Stainless rollers and inner links, with Connex Link",Silver,9sp,CONNEX 9sE CHAIN SSTL 136L,Each,38.88,34.99,69.99,3,4041319002084,7315111000,9SE Bicycle Chain,2321-09SE-1360,CHCX09E36,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,9sE chain 25M,"9-speed, Stainless rollers and inner links, with 20 Connex Links",Silver,9sp,CONNEX 9sE CHAIN SSTL 25M Roll,Each,513.89,462.50,925.00,2,0,7315111000,9SE Bicycle Chain,2341-09SE-0250,CHCX09ER,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,908 chain 114L,"9-speed, Nickel plated w Connex Link",Nickel,9sp,CONNEX 908 CHAIN Nickel 114L,Each,22.22,20.00,39.99,5,4041319001063,7315111000,908 Bicycle Chain,2321-0908-1140,CHCX09N14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10s0 chain 114L,"10-speed, heat treated steel w Connex Link",Silver,10sp,CONNEX 10s0 CHAIN STL SIL 114L,Each,19.44,17.50,34.99,10,4041319001384,7315111000,10S0 Bicycle Chain,2321-10S0-1140,CHCX10014,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10s0 chain 114L WS,"10-speed, heat treated steel w Connex Link WS Bulk packing (Pack 10)",Silver,10sp,CONNEX 10s0 CHAIN STL SIL 114L WS,Box10,175.00,157.50,34.99,2,4041319002367,7315111000,10S0 Bicycle Chain,2331-10S0-1140,CHCX10014W,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sB chain 114L,"10-speed, Black with Gold pins and rollers w Connex Link",Black/Gold,10sp,CONNEX 10sB CHAIN BLK/GOLD 114L,Each,33.33,30.00,59.99,3,4041319001872,7315111000,10SB Bicycle Chain,2321-10SB-1140,CHCX10B14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sE chain 124L,"10-speed, Stainless rollers and inner links, with Connex Link",Silver,10sp,CONNEX 10sE CHAIN SSTL 124L,Each,38.88,34.99,69.99,3,4041319001896,7315111000,10SE Bicycle Chain,2321-10SE-1240,CHCX10E24,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sE chain 136L,"10-speed, Stainless rollers and inner links, with Connex Link",Silver,10sp,CONNEX 10sE CHAIN SSTL 136L,Each,41.66,37.49,74.99,3,4041319002107,7315111000,10SE Bicycle Chain,2321-10SE-1360,CHCX10E36,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sE chain 25M,"10-speed, Stainless rollers and inner links, with 20 Connex Links",Silver,10sp,CONNEX 10sE CHAIN SSTL 25M Roll,Each,550.00,495.00,990.00,2,0,7315111000,10SE Bicycle Chain,2341-10SE-0250,CHCX10ER,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sG chain 114L,"10-speed, Gold finish brass coated w Connex Link",Gold,10sp,CONNEX 10sG CHAIN GOLD 114L,Each,27.77,24.99,49.99,3,4041319001704,7315111000,10SG Bicycle Chain,2321-10SG-1140,CHCX10G14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10s8 chain 114L,"10-speed, Nickel plated w Connex Link",Nickel,10sp,CONNEX 10s8 CHAIN Nickel 114L,Each,24.99,22.49,44.99,3,4041319001551,7315111000,10S8 Bicycle Chain,2321-10S8-1140,CHCX10N14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10sX chain 114L,"10-speed, Stainless rollers and inner links, Nickel plated w Connex Link",Nickel,10sp,CONNEX 10sX CHAIN SSTL 114L,Each,36.11,32.50,64.99,3,4041319001599,7315111000,10SX Bicycle Chain,2321-10SX-1140,CHCX10S14,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,10WAX chain 116L,"10-speed, Hot Wax treated, Nickel plated w Connex Link",Nickel,10sp,CONNEX 10WAX CHAIN 116L,Each,41.66,37.49,74.99,3,4041319003388,7315111000,10WAX Bicycle Chain,2321-10SW-1160,CHCX10W16,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11s0 chain 118L,"11-speed, heat treated steel w Connex Link",Silver,11sp,CONNEX 11s0 CHAIN STL SIL 118L,Each,27.77,24.99,49.99,5,4041319002046,7315111000,11S0 Bicycle Chain,2321-11S0-1180,CHCX11018,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sB chain 118L,"11-speed, Black with Gold pins and rollers w Connex Link",Black/Gold,11sp,CONNEX 11sB CHAIN BLK/GOLD 118L,Each,38.88,34.99,69.99,3,4041319002152,7315111000,11SB Bicycle Chain,2321-11SB-1180,CHCX11B18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sB WAX chain 126L,"11-speed, Hot Wax treated, Black with Gold pins and rollers w Connex Link",Black/Gold,11sp,CONNEX 11sB WAX CHAIN BLK/GOLD 126L,Each,49.99,44.99,89.99,3,4041319003548,7315111000,11SB WAX Bicycle Chain,2321-11WB-1260,CHCX11BW26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sE chain 124L,"11-speed, Stainless rollers and inner links, with Connex Link",Silver,11sp,CONNEX 11sE CHAIN SSTL 124L,Each,41.66,37.49,74.99,3,4041319002657,7315111000,11SE Bicycle Chain,2321-11SE-1240,CHCX11E24,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sE chain 136L,"11-speed, Stainless rollers and inner links, with Connex Link",Silver,11sp,CONNEX 11sE CHAIN SSTL 136L,Each,47.22,42.50,84.99,3,4041319002671,7315111000,11SE Bicycle Chain,2321-11SE-1360,CHCX11E36,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sE chain -25M,"11-speed, Stainless rollers and inner links, with 20 Connex Links",Silver,11sp,CONNEX 11sE CHAIN SSTL 25M Roll,Each,619.44,557.50,1115.00,2,0,7315111000,11SE Bicycle Chain,2341-11SE-0250,CHCX11ER,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sG chain 118L,"11-speed, Gold finish brass coated w Connex Link",Gold,11sp,CONNEX 11sG CHAIN GOLD 118L,Each,33.33,30.00,59.99,3,4041319002640,7315111000,11SG Bicycle Chain,2321-11SG-1180,CHCX11G18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sG WAX chain 126L,"11-speed, Hot Wax treated, Gold finish brass coated w Connex Link",Gold,11sp,CONNEX 11sG WAX CHAIN GOLD 126L,Each,49.99,44.99,89.99,3,4041319003555,7315111000,11SG WAX Bicycle Chain,2321-11WG-1260,CHCX11GW26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11s8 chain 118L,"11-speed, Nickel plated w Connex Link",Nickel,11sp,CONNEX 11s8 CHAIN Nickel 118L,Each,30.55,27.50,54.99,3,4041319002787,7315111000,11S8 Bicycle Chain,2321-11S8-1180,CHCX11N18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11sX chain 118L,"11-speed, Stainless rollers and inner links, Nickel plated w Connex Link",Nickel,11sp,CONNEX 11sX CHAIN SSTL 118L,Each,41.66,37.49,74.99,3,4041319002039,7315111000,11SX Bicycle Chain,2321-11SX-1180,CHCX11S18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11WAX chain 118L,"11-speed, Hot Wax treated, Nickel plated w Connex Link",Nickel,11sp,CONNEX 11WAX CHAIN 118L,Each,44.44,40.00,79.99,3,4041319003395,7315111000,11WAX Bicycle Chain,2321-11SW-1180,CHCX11W18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,11WAX chain 126L,"11-speed, Hot Wax treated, Nickel plated w Connex Link",Nickel,11sp,CONNEX 11WAX CHAIN 126L,Each,47.22,42.50,84.99,3,4041319003401,7315111000,11WAX Bicycle Chain,2321-11SW-1260,CHCX11W26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12s0 chain 126L,"12-speed, heat treated steel w Connex Link",Silver,12sp,CONNEX 12s0 CHAIN STL SIL 126L,Each,38.88,34.99,69.99,5,4041319002855,7315111000,12S0 Bicycle Chain,2321-12S0-1260,CHCX12026,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sB chain 126L,"12-speed, Black with Gold pins and rollers w Connex Link",Black/Gold,12sp,CONNEX 12sB CHAIN BLK/GOLD 126L,Each,44.44,40.00,79.99,3,4041319003456,7315111000,12SB Bicycle Chain,2321-12SB-1260,CHCX12B26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sB WAX chain 126L,"12-speed, Hot Wax treated, Black with Gold pins and rollers w Connex Link",Black/Gold,12sp,CONNEX 12sB WAX CHAIN BLK/GOLD 126L,Each,55.55,50.00,99.99,3,4041319003524,7315111000,12SB WAX Bicycle Chain,2321-12WB-1260,CHCX12BW26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sE chain 126L,"12-speed, Stainless rollers and inner links, with Connex Link",Silver,12sp,CONNEX 12sE CHAIN SSTL 126L,Each,44.44,40.00,79.99,3,4041319002978,7315111000,12SE Bicycle Chain,2321-12SE-1260,CHCX12E26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sE chain -25M,"12-speed, Stainless rollers and inner links, with 20 Connex Links",Silver,12sp,CONNEX 12sE CHAIN SSTL 25M Roll,Each,655.56,590.00,1180.00,2,0,7315111000,12SE Bicycle Chain,2341-12SE-0250,CHCX12ER,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sG chain 126L,"12-speed, Gold finish brass coated w Connex Link",Gold,12sp,CONNEX 12sG CHAIN GOLD 126L,Each,44.44,40.00,79.99,3,4041319003463,7315111000,12SG Bicycle Chain,2321-12SG-1260,CHCX12G26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sG WAX chain 126L,"12-speed, Hot Wax treated, Gold finish brass coated w Connex Link",Gold,12sp,CONNEX 12sG WAX CHAIN GOLD 126L,Each,55.55,50.00,99.99,3,4041319003531,7315111000,12SG WAX Bicycle Chain,2321-12WG-1260,CHCX12GW26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sR chain 126L,"12-speed, SRAM Flattop compatible, e-Bike ready, Nickel w Connex Link",Nickel,12sp,CONNEX 12sR CHAIN NICKEL 126L,Each,44.44,40.00,79.99,3,4041319003470,7315111000,12SR Bicycle Chain,2321-12SR-1260,CHCX12SR26,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12sR WAX chain 126L,"12-speed, Hot Wax treated, SRAM Flattop compatible, e-Bike ready, Nickel w Connex Link",Nickel,12sp,CONNEX 12sR WAX CHAIN NICKEL 126L,Each,55.55,50.00,99.99,3,4041319003494,7315111000,12SR WAX Bicycle Chain,2321-12WR-1260,CHCX12SRW6,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12WAX chain 118L,"12-speed, Hot Wax treated, Nickel plated w Connex Link",Nickel,12sp,CONNEX 12WAX CHAIN 118L,Each,49.99,44.99,89.99,3,4041319003418,7315111000,12WAX Bicycle Chain,2321-12SW-1180,CHCX12W18,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,Connex,12WAX chain 126L,"12-speed, Hot Wax treated, Nickel plated w Connex Link",Nickel,12sp,CONNEX 12WAX CHAIN 126L,Each,52.77,47.49,94.99,3,4041319003425,7315111000,12WAX Bicycle Chain,2321-12SW-1260,CHCX12W26,Ison
Chains & Chain Devices,Chain Spares,Connex,Connex Link 08 QR,"8-speed Quick Release, re-usable joining link, boxed.",Silver,8spd,CONNEX LINK QR 8sp SIL Boxed,Each,2.77,2.49,4.99,5,4041319000097,7315111000,Connex Link - 8 speed,1501-0800-1220,CHCXLQ080,Ison
Chains & Chain Devices,Chain Spares,Connex,Connex Link 08 QR,"8-speed Quick Release, re-usable joining link, Workshop bagged in 10s)",Silver,8spd,CONNEX LINK QR 8sp SIL WS Bag10,Bg10,22.17,19.95,3.99,2,0,7315111000,Connex Link - 8 speed,1501-0800-1200,CHCXLQ080W,Ison
Chains & Chain Devices,Chain Spares,Connex,Connex Link 09 QR,"9-speed Quick Release, re-usable joining link, boxed.",Silver,9spd,CONNEX LINK QR 9sp SIL Boxed,Each,2.77,2.49,4.99,5,4041319000080,7315111000,Connex Link - 9 speed,1501-0900-1220,CHCXLQ090,Ison
Chains & Chain Devices,Chain Spares,Connex,Connex Link 09 QR,"9-speed Quick Release, re-usable joining link, (Workshop bagged in 10s)",Silver,9spd,CONNEX LINK QR 9sp SIL WS Bag10,Bg10,22.17,19.95,3.99,2,0,7315111000,Connex Link - 9 speed,1501-0900-1200,CHCXLQ090W,Ison
Chains & Chain Devices,Chain Spares,Connex,Connex Link 10 QR,"10-speed Quick Release, re-usable joining link, boxed.",Silver,10spd,CONNEX LINK QR 10sp SIL Boxed,Each,5.55,5.00,9.99,5,4041319001681,7315111000,Connex Link - 10 speed,1501-1000-1220,CHCXLQ100,Ison
