SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
PMQ8739005,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 50-37T 175MM,7.10846E+11,765,50-37T,175MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739006,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 48-35T 160MM,7.10846E+11,765,48-35T,160MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739007,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 48-35T 165MM,7.10846E+11,765,48-35T,165MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739009,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 48-35T 170MM,7.10846E+11,765,48-35T,170MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739010,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 48-35T 172.5MM,7.10846E+11,765,48-35T,172.5MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739011,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 48-35T 175MM,7.10846E+11,765,48-35T,175MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739012,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 46-33T 160MM,7.10846E+11,765,46-33T,160MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739013,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 46-33T 165MM,7.10846E+11,765,46-33T,165MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739015,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 46-33T 170MM,7.10846E+11,765,46-33T,170MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739016,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 46-33T 172.5MM,7.10846E+11,765,46-33T,172.5MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8739017,PMQ8739000,SRAM Crankset w/Power meter spider FORCE AXS E1 DUB - Thread Mount (BB not included): 46-33T 175MM,7.10846E+11,765,46-33T,175MM,,COMPONENT,Sram,445.49,GBP,Zyrofisher
PMQ8741000,PMQ8741000,SRAM Crankset w/Power meter spider FORCE AXS 1x E1 DUB - Direct Mount 50T Aero (BB not included): BLACK 160MM,7.10846E+11,685,BLACK,160MM,,COMPONENT,Sram,399.9,GBP,Zyrofisher
PMQ8741001,PMQ8741000,SRAM Crankset w/Power meter spider FORCE AXS 1x E1 DUB - Direct Mount 50T Aero (BB not included): BLACK 165MM,7.10846E+11,685,BLACK,165MM,,COMPONENT,Sram,399.9,GBP,Zyrofisher
PMQ8741003,PMQ8741000,SRAM Crankset w/Power meter spider FORCE AXS 1x E1 DUB - Direct Mount 50T Aero (BB not included): BLACK 170MM,7.10846E+11,685,BLACK,170MM,,COMPONENT,Sram,399.9,GBP,Zyrofisher
